query,category,latency,min,max,lower_ci,upper_ci
3D cell,Neo4j,22.392044000000002,9.188,1504.346,10.1238,72.06462499999958
3D cell,PostgreSQL,5.56441,3.243,26.967000000000002,3.734,13.919049999999995
3D state,Neo4j,695.955694,11.162999999999998,75610.195,12.088875,4136.272074999968
3D state,PostgreSQL,84.223994,0.804,8241.497000000001,0.8699749999999999,533.58535
Node tag subtree,Neo4j,1.474597,1.062,13.542,1.183975,1.9990999999999999
Node tag subtree,PostgreSQL,0.637115,0.423,10.101,0.455975,1.2485999999999995
Tag by id,Neo4j,1.662241,1.176,42.013000000000005,1.3148,2.27105
Tag by id,PostgreSQL,0.98034,0.294,49.78,0.40097499999999997,1.2771249999999998
