query,category,latency,min,max,lower_ci,upper_ci
1 Node + 2 Tagset,Neo4j,640.973625,2.139,70963.701,11.956800000000001,3613.4452999999953
1 Node + 2 Tagset,PostgreSQL,204.17435,0.828,14866.169,0.898975,742.8405749999997
2 Node + 1 Tagset,Neo4j,479.30099800000005,12.298,50714.011999999995,13.051874999999999,3973.654624999996
2 Node + 1 Tagset,PostgreSQL,10.706062,0.829,87.809,0.887,27.955799999999996
3 Node,Neo4j,629.432052,13.331000000000001,55617.034,14.319700000000001,4494.546899999998
3 Node,PostgreSQL,1.900007,0.8099999999999999,35.166000000000004,0.873975,9.605599999999997
