query,category,latency,min,max,lower_ci,upper_ci
2D,Neo4j,19.932750000000002,8.906,286.755,9.82245,52.999899999999904
2D,PostgreSQL Baseline,1772.66879,1747.557,1898.7549999999999,1752.39785,1807.8934499999998
2D,PostgreSQL Optimized,0.9940000000000001,0.739,10.182,0.762,1.5687749999999976
3D,Neo4j,18.34217,13.583,49.861000000000004,13.738525,34.161449999999974
3D,PostgreSQL Baseline,1819.09635,1751.16,2103.882,1753.69795,2004.990175
3D,PostgreSQL Optimized,15.50623,14.244,35.261,14.3711,16.71585
3D + 2,Neo4j,145.25368,111.503,2162.1679999999997,114.870775,149.7025749999999
3D + 2,PostgreSQL Baseline,2763.09314,2730.6710000000003,2917.0440000000003,2733.0059499999998,2821.202725
3D + 2,PostgreSQL Optimized,4.96038,4.023,11.063,4.079475,7.042349999999998
