query,category,latency,min,max,lower_ci,upper_ci
3D cell,Neo4j,24.341482,10.156,2066.208,11.533825,31.641999999999964
3D cell,PostgreSQL,4.445533,3.18,16.303,3.4459,7.24025
3D state,Neo4j,109.03093799999999,13.657,31319.267,14.795074999999999,129.56882499999975
3D state,PostgreSQL,7.211053000000001,0.805,2521.628,0.85185,21.590699999999906
Node tag subtree,Neo4j,2.319545,1.453,94.69900000000001,1.6298499999999998,3.097025
Node tag subtree,PostgreSQL,0.87372,0.528,85.976,0.581975,1.3283749999999988
Tag by id,Neo4j,2.8597989999999998,1.4369999999999998,96.26899999999999,1.7529249999999998,4.1732
Tag by id,PostgreSQL,0.865803,0.35100000000000003,45.836,0.41,1.4469999999999998
