query,category,latency,min,max,lower_ci,upper_ci
Insert object,Neo4j,28.46966666666667,4.296,73.59400000000001,4.45715,70.29025
Insert object,PostgreSQL,25234.046666666665,24191.037,26470.226,24233.529,26398.75855
Insert object,PostgreSQL Baseline,0.8536666666666667,0.332,1.7799999999999998,0.33785000000000004,1.7134499999999997
Insert tag,Neo4j,23.689999999999998,6.0200000000000005,43.479,6.797550000000001,42.3836
Insert tag,PostgreSQL,40627.93,35559.746,44342.093,35880.85625,44224.0859
Insert tag,PostgreSQL Baseline,5.106,0.874,13.299,0.88755,12.691299999999998
