query,category,latency,min,max,lower_ci,upper_ci
1 Node + 2 Tagset,Neo4j,117.89682,11.834000000000001,31033.001,12.14085,294.857375
1 Node + 2 Tagset,PostgreSQL,9.565199,0.7879999999999999,1978.9730000000002,0.834,40.04107499999999
2 Node + 1 Tagset,Neo4j,18.428325,12.536999999999999,1121.9289999999999,13.073925,27.60962499999999
2 Node + 1 Tagset,PostgreSQL,1.0613240000000002,0.784,10.415000000000001,0.8019999999999999,2.158074999999999
3 Node,Neo4j,20.239883999999996,13.501000000000001,2134.379,14.12165,28.6175
3 Node,PostgreSQL,1.033431,0.78,10.415000000000001,0.8009999999999999,2.1491499999999997
