query,category,latency,min,max,lower_ci,upper_ci
3D cell,Neo4j,19.398719,10.356,1922.0049999999999,10.844975,25.814349999999987
3D cell,PostgreSQL,3.969885,3.0500000000000003,17.137,3.261925,6.006774999999998
3D state,Neo4j,29.953949,12.265,5204.792,13.169425,65.97022499999957
3D state,PostgreSQL,4.264520999999999,0.786,343.934,0.819,15.165599999999998
